Order ID,Order Date,Shipping Date,Shipping Mode,Customer ID,Customer Name,Segment,City,State,Country,Product ID,Product Name,Category,Sub-Category,Sales,Quantity,Discount,Profit,Shipping Cost
IN-2024-JS156857-42035,31/1/2024,1/2/2024,First Class,JS-156857,Jim Sink,Corporate,Townsville,Queensland,Australia,TEC-CO-3597,"Brother Fax Machine, High-Speed",Technology,Copiers,2565,9,0.1,28,766
IN-2024-MW182207-42221,5/8/2024,6/8/2024,First Class,MW-182207,Mitch Webber,Consumer,Geraldton,Western Australia,Australia,OFF-AP-3577,"Breville Refrigerator, White",Office Supplies,Appliances,4191,9,0.1,1164,614
IN-2024-JH158207-42140,16/5/2024,18/5/2024,Second Class,JH-158207,John Huston,Consumer,Melbourne,Victoria,Australia,TEC-PH-3147,"Apple Smart Phone, Cordless",Technology,Phones,2863,5,0.1,858,581
IN-2024-RW195407-42327,19/11/2024,25/11/2024,Standard Class,RW-195407,Rick Wilson,Corporate,Perth,Western Australia,Australia,TEC-PH-3806,"Cisco Smart Phone, Full Size",Technology,Phones,3524,6,0.1,861,531
IN-2024-MP181757-42347,9/12/2024,11/12/2024,First Class,MP-181757,Mike Pelletier,Home Office,Perth,Western Australia,Australia,TEC-PH-3149,"Apple Smart Phone, with Caller ID",Technology,Phones,1725,3,0.1,747,479
IN-2024-CG125207-42077,14/3/2024,18/3/2024,Standard Class,CG-125207,Claire Gute,Consumer,Adelaide,South Australia,Australia,OFF-AP-4745,"Hoover Stove, White",Office Supplies,Appliances,3569,7,0.1,674,458
IN-2024-TA213857-42351,13/12/2024,17/12/2024,Standard Class,TA-213857,Tom Ashbrook,Home Office,Launceston,Tasmania,Australia,OFF-AP-4508,"Hamilton Beach Stove, White",Office Supplies,Appliances,4864,10,0.1,162,426
IN-2024-GB145307-42260,13/9/2024,19/9/2024,Standard Class,GB-145307,George Bell,Corporate,Brisbane,Queensland,Australia,TEC-CO-4593,"Hewlett Wireless Fax, Laser",Technology,Copiers,4448,13,0.1,444,386
ID-2024-RD1993092-42140,16/5/2024,18/5/2024,Second Class,RD-1993092,Russell D'Ascenzo,Consumer,Manukau City,Auckland,New Zealand,OFF-AP-4961,"KitchenAid Refrigerator, Red",Office Supplies,Appliances,1900,6,0.4,-348,360
IN-2024-NL1831092-42266,19/9/2024,19/9/2024,Same Day,NL-1831092,Nancy Lomonaco,Home Office,Christchurch,Canterbury,New Zealand,OFF-ST-6046,"Smead Lockers, Blue",Office Supplies,Storage,1190,6,0,178,353
IN-2024-MB173057-42179,24/6/2024,28/6/2024,Standard Class,MB-173057,Maria Bertelson,Consumer,Sydney,New South Wales,Australia,FUR-BO-5948,"Sauder Classic Bookcase, Metal",Furniture,Bookcases,5486,14,0.1,2316,346
